,dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery,url,Unnamed: 0
153,70.4 x 145.3 x 9.9 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",,"2 GB, 667 MHz",16 GB,"5.5 in, IPS, 480 x 960 pixels, 24 bit","3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"2650 mAh, Li-Ion",https://www.devicespecifications.com/en/model/2a194fd6,165.0
154,70.41 x 146.3 x 9.55 mm,"4x 1.95 GHz ARM Cortex-A53, 4x 1.45 GHz ARM Cortex-A53,","Qualcomm Adreno 505, 650 MHz",165 g,"2 GB, 3 GB, 800 MHz","16 GB, 32 GB","5.45 in, IPS, 720 x 1440 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/b52750d1,
155,70.41 x 146.3 x 9.55 mm,"4x 1.95 GHz ARM Cortex-A53, 4x 1.45 GHz ARM Cortex-A53,","Qualcomm Adreno 505, 650 MHz",165 g,"2 GB, 3 GB, 800 MHz","16 GB, 32 GB","5.45 in, IPS, 720 x 1440 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/b52750d1,
156,70.5 x 143.4 x 6.8 mm,"4x 2.1 GHz ARM Cortex-A57, 4x 1.5 GHz ARM Cortex-A53,","ARM Mali-T760 MP8, 772 MHz,",138 g,"3 GB, 1552 MHz","32 GB, 64 GB, 128 GB","5.1 in, Super AMOLED, 1440 x 2560 pixels, 24 bit","5312 x 2988 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, ac, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.1,"2550 mAh, Li-Ion",https://www.devicespecifications.com/en/model/94e332dd,378.0
157,70.56 x 145.96 x 9.3 mm,"4x 2.0 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 660 MHz",153 g,"2 GB, 3 GB, 933 MHz","16 GB, 32 GB","5.71 in, IPS, 720 x 1520 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/c8505107,50.0
158,70.6 x 129 x 8.5 mm,"2x 1.5 GHz Krait,","Qualcomm Adreno 225, 400 MHz",139 g,"1 GB, 500 MHz","16 GB, 32 GB","4.5 in, AMOLED, 768 x 1280 pixels, 24 bit","3552 x 2448 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot","2.0, Micro USB",4.0,"2000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/c5052761,566.0
159,70.6 x 129 x 8.5 mm,"2x 1.5 GHz Krait,","Qualcomm Adreno 225, 400 MHz",139 g,"1 GB, 500 MHz","16 GB, 32 GB","4.5 in, AMOLED, 768 x 1280 pixels, 24 bit","3552 x 2448 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot","2.0, Micro USB",4.0,"2000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/c5052761,567.0
160,70.6 x 129 x 8.5 mm,"2x 1.5 GHz Krait,","Qualcomm Adreno 225, 400 MHz",139 g,"1 GB, 500 MHz","16 GB, 32 GB","4.5 in, AMOLED, 768 x 1280 pixels, 24 bit","3552 x 2448 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot","2.0, Micro USB",4.0,"2000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/c5052761,568.0
161,70.6 x 149.2 x 8.4 mm,"2x 2.2 GHz ARM Cortex-A73, 6x 1.6 GHz ARM Cortex-A53,","ARM Mali-G71 MP2, 1100 MHz,",172 g,"4 GB, 1866 MHz","32 GB, 64 GB","5.6 in, Super AMOLED, 1080 x 2220 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/d76d4706,425.0
162,70.6 x 149.2 x 8.4 mm,"2x 2.2 GHz ARM Cortex-A73, 6x 1.6 GHz ARM Cortex-A53,","ARM Mali-G71 MP2, 1100 MHz,",172 g,"4 GB, 1866 MHz","32 GB, 64 GB","5.6 in, Super AMOLED, 1080 x 2220 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/d76d4706,426.0
163,70.6 x 149.2 x 8.4 mm,"2x 2.2 GHz ARM Cortex-A73, 6x 1.6 GHz ARM Cortex-A53,","ARM Mali-G71 MP2, 1100 MHz,",172 g,"4 GB, 1866 MHz","32 GB, 64 GB","5.6 in, Super AMOLED, 1080 x 2220 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/d76d4706,427.0
164,70.6 x 149.2 x 8.4 mm,"2x 2.2 GHz ARM Cortex-A73, 6x 1.6 GHz ARM Cortex-A53,","ARM Mali-G71 MP2, 1100 MHz,",172 g,"4 GB, 1866 MHz","32 GB, 64 GB","5.6 in, Super AMOLED, 1080 x 2220 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/d76d4706,428.0
165,70.7 x 148.6 x 9.55 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",183 g,"1 GB, 667 MHz",16 GB,"5.5 in, IPS, 480 x 960 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot","2.0, Micro USB",4.2,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/8a924e20,
166,70.7 x 148.6 x 9.55 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",183 g,"1 GB, 667 MHz",16 GB,"5.5 in, IPS, 480 x 960 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot","2.0, Micro USB",4.2,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/8a924e20,
167,70.78 x 147.13 x 8.45 mm,"4x 2.0 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 660 MHz",146 g,"2 GB, 1600 MHz",32 GB,"5.71 in, IPS, 720 x 1520 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 60 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3020 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/94825065,120.0
168,70.78 x 147.13 x 8.45 mm,"4x 2.0 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 660 MHz",146 g,"2 GB, 1600 MHz",32 GB,"5.71 in, IPS, 720 x 1520 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 60 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3020 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/94825065,121.0
169,70.8 x 151.9 x 9.35 mm,"4x 1.25 GHz ARM Cortex-A53,","ARM Mali-T720 MP2, 550 MHz,",,"2 GB, 640 MHz",16 GB,"5.5 in, IPS, 640 x 1280 pixels, 24 bit","4160 x 3120 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"3300 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/377b4832,
170,70.86 x 146.3 x 8.34 mm,"4x 1.95 GHz ARM Cortex-A53, 4x 1.45 GHz ARM Cortex-A53,","Qualcomm Adreno 505, 650 MHz",,"2 GB, 800 MHz",16 GB,"5.7 in, TFT, 720 x 1520 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/1ea452d3,381.0
171,70.9 x 141.5 x 9.1 mm,"8x 1.6 GHz ARM Cortex-A53,","ARM Mali-T830 MP1, 700 MHz,",142 g,"1 GB, 933 MHz","8 GB, 16 GB","5 in, IPS, 540 x 960 pixels, 24 bit","2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"2600 mAh, Li-Ion",https://www.devicespecifications.com/en/model/23a64ff3,388.0
172,70.9 x 141.5 x 9.1 mm,"8x 1.6 GHz ARM Cortex-A53,","ARM Mali-T830 MP1, 700 MHz,",142 g,"1 GB, 933 MHz","8 GB, 16 GB","5 in, IPS, 540 x 960 pixels, 24 bit","2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"2600 mAh, Li-Ion",https://www.devicespecifications.com/en/model/23a64ff3,389.0
173,70.9 x 146.1 x 9.5 mm,"4x 1.4 GHz ARM Cortex-A53,","ARM Mali-T820 MP1, 680 MHz,",160 g,"1 GB, 666 MHz",32 GB,"5.45 in, IPS, 720 x 1440 pixels, 24 bit","3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"2600 mAh, Li-Ion",https://www.devicespecifications.com/en/model/eb11531a,260.0
174,70.9 x 146.1 x 9.5 mm,"4x 1.4 GHz ARM Cortex-A53,","ARM Mali-T820 MP1, 680 MHz,",160 g,"1 GB, 666 MHz",32 GB,"5.45 in, IPS, 720 x 1440 pixels, 24 bit","3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"2600 mAh, Li-Ion",https://www.devicespecifications.com/en/model/eb11531a,261.0
175,70.9 x 146.1 x 9.5 mm,"4x 1.4 GHz ARM Cortex-A53,","ARM Mali-T820 MP1, 680 MHz,",160 g,"1 GB, 666 MHz",32 GB,"5.45 in, IPS, 720 x 1440 pixels, 24 bit","3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"2600 mAh, Li-Ion",https://www.devicespecifications.com/en/model/eb11531a,262.0
176,70.98 x 147.2 x 8.59 mm,"4x 1.8 GHz Cortex-A73, 4x 1.6 GHz Cortex-A53 (Kryo 260),","Qualcomm Adreno 509, 430 MHz",151 g,"4 GB, 1333 MHz",64 GB,"5.8 in, IPS, 1080 x 2280 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3060 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/9c3b4b96,91.0
177,70.98 x 147.2 x 8.59 mm,"4x 1.8 GHz Cortex-A73, 4x 1.6 GHz Cortex-A53 (Kryo 260),","Qualcomm Adreno 509, 430 MHz",151 g,"4 GB, 1333 MHz",64 GB,"5.8 in, IPS, 1080 x 2280 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3060 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/9c3b4b96,92.0
178,70.98 x 147.2 x 8.59 mm,"4x 1.8 GHz Cortex-A73, 4x 1.6 GHz Cortex-A53 (Kryo 260),","Qualcomm Adreno 509, 430 MHz",151 g,"4 GB, 1333 MHz",64 GB,"5.8 in, IPS, 1080 x 2280 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3060 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/9c3b4b96,93.0
179,71 x 133 x 10.8 mm,"4x 1.5 GHz ARM Cortex-A53,","ARM Mali-T760 MP2, 650 MHz,",135 g,"1 GB, 800 MHz",8 GB,"4.7 in, IPS, 540 x 960 pixels, 24 bit","2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.1,"2300 mAh, Li-Ion",https://www.devicespecifications.com/en/model/6f2832ba,214.0
180,71.06 x 148.9 x 8.5 mm,"2x 2.86 GHz Cortex-A76, 2x 2.09 GHz Cortex-A76, 4x 1.86 GHz Cortex-A55","ARM Mali-G76 MP16, 600 MHz,",175 g,"8 GB, 2133 MHz",128 GB,"6.1 in, OLED, 1080 x 2340 pixels, 24 bit","50 MP, 3840 x 2160 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display, Wi-Fi 6 (ax)","3.1, USB Type-C",5.1,"3800 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/7c4d55c2,
181,71.1 x 150.7 x 9 mm,"4x 1.3 GHz ARM Cortex-A7,","ARM Mali-T820 MP1,",162 g,1 GB,8 GB,"5.45 in, IPS, 480 x 960 pixels, 24 bit","2592 x 1944 pixels, 1280 x 720 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"2000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/2a215155,
182,71.12 x 165.1 x 7.62 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 585)","Qualcomm Adreno 650, 587 MHz",181 g,"8 GB, 2750 MHz",256 GB,"6.5 in, OLED, 1644 x 3840 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.1,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/acea5301,
183,71.12 x 165.1 x 7.62 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 585)","Qualcomm Adreno 650, 587 MHz",181 g,"8 GB, 2750 MHz",256 GB,"6.5 in, OLED, 1644 x 3840 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.1,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/acea5301,
184,71.12 x 165.1 x 7.62 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 585)","Qualcomm Adreno 650, 587 MHz",181 g,"8 GB, 2750 MHz",256 GB,"6.5 in, OLED, 1644 x 3840 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.1,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/acea5301,
185,71.12 x 165.1 x 7.62 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 585)","Qualcomm Adreno 650, 587 MHz",181 g,"8 GB, 2750 MHz",256 GB,"6.5 in, OLED, 1644 x 3840 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.1,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/acea5301,
186,71.2 x 145.2 x 7.6 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",159 g,"2 GB, 667 MHz",16 GB,"5.5 in, TFT, 480 x 960 pixels, 24 bit","2592 x 1944 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"2700 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/cc2e4e4b,311.0
187,71.2 x 145.2 x 7.6 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",159 g,"2 GB, 667 MHz",16 GB,"5.5 in, TFT, 480 x 960 pixels, 24 bit","2592 x 1944 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"2700 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/cc2e4e4b,312.0
188,71.2 x 146.2 x 9.7 mm,"4x 1.4 GHz ARM Cortex-A53,","ARM Mali-T820 MP1, 680 MHz,",150 g,"3 GB, 666 MHz",32 GB,"5.45 in, IGZO, 720 x 1440 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.1,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/315b4d86,294.0
189,71.2 x 146.2 x 9.7 mm,"4x 1.4 GHz ARM Cortex-A53,","ARM Mali-T820 MP1, 680 MHz,",150 g,"3 GB, 666 MHz",32 GB,"5.45 in, IGZO, 720 x 1440 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.1,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/315b4d86,295.0
190,71.2 x 146.2 x 9.7 mm,"4x 1.4 GHz ARM Cortex-A53,","ARM Mali-T820 MP1, 680 MHz,",150 g,"3 GB, 666 MHz",32 GB,"5.45 in, IGZO, 720 x 1440 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.1,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/315b4d86,296.0
191,71.2 x 147.3 x 9.35 mm,"4x 1.3 GHz ARM Cortex-A53,",Qualcomm Adreno 308,155 g,"1 GB, 672 MHz",16 GB,"5.71 in, IPS, 720 x 1520 pixels, 24 bit","3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/68a85332,4.0
192,71.2 x 147.5 x 7.6 mm,"4x 1.95 GHz ARM Cortex-A72, 4x 1.4 GHz ARM Cortex-A53,","Qualcomm Adreno 510, 621 MHz",155 g,"6 GB, 933 MHz",64 GB,"5.2 in, JDI IPS, 1080 x 1920 pixels, 24 bit","4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"3200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/f6124653,
193,71.2 x 147.5 x 7.6 mm,"4x 1.95 GHz ARM Cortex-A72, 4x 1.4 GHz ARM Cortex-A53,","Qualcomm Adreno 510, 621 MHz",155 g,"6 GB, 933 MHz",64 GB,"5.2 in, JDI IPS, 1080 x 1920 pixels, 24 bit","4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"3200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/f6124653,
194,71.2 x 147.88 x 9.19 mm,"4x 1.4 GHz ARM Cortex-A53,","Qualcomm Adreno 308, 598 MHz",145 g,"1 GB, 667 MHz",16 GB,"5.3 in, IPS, 480 x 960 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.2,"2100 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/0c604b8d,
195,71.2 x 153.7 x 7.95 mm,"4x 1.3 GHz ARM Cortex-A53,","ARM Mali-T720 MP2, 550 MHz,",144 g,"3 GB, 640 MHz",32 GB,"5.5 in, IPS, 720 x 1280 pixels, 24 bit","4160 x 3120 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"2500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/caf04ae8,349.0
196,71.2 x 160.1 x 8.7 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.6 GHz ARM Cortex-A53,","ARM Mali-G72 MP3,",181 g,4 GB,128 GB,"6.3 in, IPS, 1080 x 2520 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/c8d9502e,
197,71.2 x 160.1 x 8.7 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.6 GHz ARM Cortex-A53,","ARM Mali-G72 MP3,",181 g,4 GB,128 GB,"6.3 in, IPS, 1080 x 2520 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/c8d9502e,
198,71.2 x 160.1 x 9.2 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.6 GHz ARM Cortex-A53,","ARM Mali-G72 MP3,",181 g,4 GB,128 GB,"6.3 in, IPS, 1080 x 2520 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 48 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/c2315118,
199,71.2 x 160.1 x 9.2 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.6 GHz ARM Cortex-A53,","ARM Mali-G72 MP3,",181 g,4 GB,128 GB,"6.3 in, IPS, 1080 x 2520 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 48 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/c2315118,
200,71.5 x 147.31 x 7.99 mm,"4x 1.8 GHz Cortex-A73, 4x 1.8 GHz Cortex-A53 (Kryo 250),","Qualcomm Adreno 506, 725 MHz",149 g,"2 GB, 933 MHz",32 GB,"5.7 in, IPS, 720 x 1512 pixels, 24 bit","4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/40e34f01,
201,71.6 x 146.1 x 9.9 mm,"ARM Cortex-A53,","Qualcomm Adreno 308, 485 MHz",168 g,2 GB,16 GB,"5.5 in, IPS, 720 x 1440 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/031552eb,45.0
202,71.6 x 146.1 x 9.9 mm,"ARM Cortex-A53,","Qualcomm Adreno 308, 485 MHz",168 g,2 GB,16 GB,"5.5 in, IPS, 720 x 1440 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/031552eb,46.0
203,71.8 x 142.6 x 7.1 mm,"4x 1.2 GHz ARM Cortex-A53,","Qualcomm Adreno 306, 400 MHz",120 g,"2 GB, 533 MHz",16 GB,"4.93 in, IPS, 720 x 1280 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.1,"2300 mAh, Li-Ion",https://www.devicespecifications.com/en/model/c5ee3a18,
204,71.8 x 149.2 x 7.7 mm,"4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-T830 MP2,",152 g,"4 GB, 933 MHz","32 GB, 64 GB, 128 GB","5.84 in, IPS, 1080 x 2280 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/50074ace,130.0
205,71.8 x 149.2 x 7.7 mm,"4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-T830 MP2,",152 g,"4 GB, 933 MHz","32 GB, 64 GB, 128 GB","5.84 in, IPS, 1080 x 2280 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/50074ace,131.0
206,71.8 x 149.2 x 7.7 mm,"4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-T830 MP2,",152 g,"4 GB, 933 MHz","32 GB, 64 GB, 128 GB","5.84 in, IPS, 1080 x 2280 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/50074ace,132.0
207,71.8 x 149.2 x 7.7 mm,"4x 2.36 GHz ARM Cortex-A53, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-T830 MP2,",152 g,"4 GB, 933 MHz","32 GB, 64 GB, 128 GB","5.84 in, IPS, 1080 x 2280 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/50074ace,133.0
