,dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery,url
0,65.7 x 137.6 x 9.8 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",134 g,"1 GB, 667 MHz","8 GB, 16 GB","5 in, LCD, 480 x 960 pixels, 24 bit","2592 x 1944 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"2000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d0ae56b4
1,65.7 x 137.6 x 9.8 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",134 g,"1 GB, 667 MHz",8 GB,"5 in, IPS, 480 x 960 pixels, 24 bit","2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"2000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/cb7d4b3b
2,65.7 x 137.6 x 9.8 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",134 g,"1 GB, 667 MHz",8 GB,"5 in, IPS, 480 x 960 pixels, 24 bit","2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"2000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/cb7d4b3b
3,65.7 x 137.6 x 9.8 mm,"4x 1.3 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 450 MHz",134 g,"1 GB, 667 MHz",8 GB,"5 in, IPS, 480 x 960 pixels, 24 bit","2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"2000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/cb7d4b3b
4,71.2 x 147.3 x 9.35 mm,"4x 1.3 GHz ARM Cortex-A53,",Qualcomm Adreno 308,155 g,"1 GB, 672 MHz",16 GB,"5.71 in, IPS, 720 x 1520 pixels, 24 bit","3264 x 2448 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/68a85332
5,73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",162 g,"3 GB, 4 GB, 6 GB","32 GB, 64 GB, 128 GB","6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/82474dd8
6,73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",162 g,"3 GB, 4 GB, 6 GB","32 GB, 64 GB, 128 GB","6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/82474dd8
7,73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",162 g,"3 GB, 4 GB, 6 GB","32 GB, 64 GB, 128 GB","6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/82474dd8
8,73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",162 g,"3 GB, 4 GB, 6 GB","32 GB, 64 GB, 128 GB","6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/82474dd8
9,73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",162 g,"3 GB, 4 GB, 6 GB","32 GB, 64 GB, 128 GB","6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/82474dd8
10,73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",162 g,"3 GB, 4 GB, 6 GB","32 GB, 64 GB, 128 GB","6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/82474dd8
11,73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",162 g,"3 GB, 4 GB, 6 GB","32 GB, 64 GB, 128 GB","6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/82474dd8
12,49.2 x 119 x 14.4 mm,,,74 g,4.096 MB,4.096 MB,"1.77 in, TFT, 120 x 160 pixels, 18 bit",,,"1.1, Micro USB",,"800 mAh, Li-Ion",https://www.devicespecifications.com/en/model/4493518d
13,50.2 x 118 x 13.5 mm,,,81 g,,,"2.4 in, TFT, 240 x 320 pixels, 18 bit",640 x 480 pixels,,"1.1, Micro USB",3.0,"1020 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7247402e
14,50.2 x 118 x 13.5 mm,,,81 g,,,"2.4 in, TFT, 240 x 320 pixels, 18 bit",640 x 480 pixels,,"1.1, Micro USB",3.0,"1020 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7247402e
15,50.2 x 118 x 13.5 mm,,,81 g,,,"2.4 in, TFT, 240 x 320 pixels, 18 bit",640 x 480 pixels,,"1.1, Micro USB",3.0,"1020 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7247402e
16,49.2 x 119 x 14.4 mm,,,74 g,4.096 MB,4.096 MB,"1.77 in, TFT, 120 x 160 pixels, 18 bit",,,"1.1, Micro USB",,"800 mAh, Li-Ion",https://www.devicespecifications.com/en/model/4493518d
17,49.2 x 119 x 14.4 mm,,,74 g,4.096 MB,4.096 MB,"1.77 in, TFT, 120 x 160 pixels, 18 bit",,,"1.1, Micro USB",,"800 mAh, Li-Ion",https://www.devicespecifications.com/en/model/4493518d
18,49.2 x 119 x 14.4 mm,,,74 g,4.096 MB,4.096 MB,"1.77 in, TFT, 120 x 160 pixels, 18 bit",,,"1.1, Micro USB",,"800 mAh, Li-Ion",https://www.devicespecifications.com/en/model/4493518d
19,49.2 x 119 x 14.4 mm,,,74 g,4.096 MB,4.096 MB,"1.77 in, TFT, 120 x 160 pixels, 18 bit",,,"1.1, Micro USB",,"800 mAh, Li-Ion",https://www.devicespecifications.com/en/model/4493518d
20,49.2 x 119 x 14.4 mm,,,74 g,4.096 MB,4.096 MB,"1.77 in, TFT, 120 x 160 pixels, 18 bit",,,"1.1, Micro USB",,"800 mAh, Li-Ion",https://www.devicespecifications.com/en/model/4493518d
21,49.2 x 119 x 14.4 mm,,,74 g,4.096 MB,4.096 MB,"1.77 in, TFT, 120 x 160 pixels, 18 bit",,,"1.1, Micro USB",,"800 mAh, Li-Ion",https://www.devicespecifications.com/en/model/4493518d
22,49.5 x 111.15 x 14.4 mm,,,70 g,4 MB,4 MB,"1.8 in, TFT, 120 x 160 pixels, 18 bit",,,"2.0, Micro USB",,"800 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7ccc4de3
23,49.5 x 111.15 x 14.4 mm,,,70 g,4 MB,4 MB,"1.8 in, TFT, 120 x 160 pixels, 18 bit",,,"2.0, Micro USB",,"800 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7ccc4de3
24,73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",164 g,4 GB,128 GB,"6.21 in, IPS, 1080 x 2340 pixels, 24 bit","5632 x 4224 pixels, 1920 x 1080 pixels, 60 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/24364ffc
25,73.64 x 154.8 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",164 g,4 GB,128 GB,"6.21 in, IPS, 1080 x 2340 pixels, 24 bit","5632 x 4224 pixels, 1920 x 1080 pixels, 60 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/24364ffc
26,63 x 115.5 x 10.44 mm,"2x 1.2 GHz ARM Cortex-A5,","Qualcomm Adreno 203, 320 MHz",128 g,"512 MB, 300 MHz",4 GB,"4 in, IPS, 480 x 800 pixels, 24 bit","2048 x 1536 pixels, 864 x 480 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",3.0,"1500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/a8b82b1f
27,63 x 115.5 x 10.44 mm,"2x 1.2 GHz ARM Cortex-A5,","Qualcomm Adreno 203, 320 MHz",128 g,"512 MB, 300 MHz",4 GB,"4 in, IPS, 480 x 800 pixels, 24 bit","2048 x 1536 pixels, 864 x 480 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",3.0,"1500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/a8b82b1f
28,50.2 x 118 x 13.5 mm,,,81 g,,,"2.4 in, TFT, 240 x 320 pixels, 18 bit",640 x 480 pixels,,"1.1, Micro USB",3.0,"1020 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7247402e
29,78.25 x 153.8 x 7.25 mm,"4x 2.313 GHz Exynos M2 Mongoose, 4x 1.69 GHz ARM Cortex-A53,","ARM Mali-G71 MP20, 546 MHz,",177 g,"6 GB, 1794 MHz","64 GB, 128 GB","5.95 in, Super AMOLED, 1440 x 2560 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/31a849f0
30,78.25 x 153.8 x 7.25 mm,"4x 2.313 GHz Exynos M2 Mongoose, 4x 1.69 GHz ARM Cortex-A53,","ARM Mali-G71 MP20, 546 MHz,",177 g,"6 GB, 1794 MHz","64 GB, 128 GB","5.95 in, Super AMOLED, 1440 x 2560 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/31a849f0
31,78.25 x 153.8 x 7.25 mm,"4x 2.313 GHz Exynos M2 Mongoose, 4x 1.69 GHz ARM Cortex-A53,","ARM Mali-G71 MP20, 546 MHz,",177 g,"6 GB, 1794 MHz","64 GB, 128 GB","5.95 in, Super AMOLED, 1440 x 2560 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/31a849f0
32,78.25 x 153.8 x 7.25 mm,"4x 2.313 GHz Exynos M2 Mongoose, 4x 1.69 GHz ARM Cortex-A53,","ARM Mali-G71 MP20, 546 MHz,",177 g,"6 GB, 1794 MHz","64 GB, 128 GB","5.95 in, Super AMOLED, 1440 x 2560 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/31a849f0
33,78.25 x 153.8 x 7.25 mm,"4x 2.313 GHz Exynos M2 Mongoose, 4x 1.69 GHz ARM Cortex-A53,","ARM Mali-G71 MP20, 546 MHz,",177 g,"6 GB, 1794 MHz","64 GB, 128 GB","5.95 in, Super AMOLED, 1440 x 2560 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/31a849f0
34,78.25 x 153.8 x 7.25 mm,"4x 2.313 GHz Exynos M2 Mongoose, 4x 1.69 GHz ARM Cortex-A53,","ARM Mali-G71 MP20, 546 MHz,",177 g,"6 GB, 1794 MHz","64 GB, 128 GB","5.95 in, Super AMOLED, 1440 x 2560 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/31a849f0
35,78.25 x 153.8 x 7.25 mm,"4x 2.313 GHz Exynos M2 Mongoose, 4x 1.69 GHz ARM Cortex-A53,","ARM Mali-G71 MP20, 546 MHz,",177 g,"6 GB, 1794 MHz","64 GB, 128 GB","5.95 in, Super AMOLED, 1440 x 2560 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/31a849f0
36,50.2 x 118 x 13.5 mm,,,81 g,,,"2.4 in, TFT, 240 x 320 pixels, 18 bit",640 x 480 pixels,,"1.1, Micro USB",3.0,"1020 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7247402e
37,50.2 x 118 x 13.5 mm,,,81 g,,,"2.4 in, TFT, 240 x 320 pixels, 18 bit",640 x 480 pixels,,"1.1, Micro USB",3.0,"1020 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7247402e
38,50.2 x 118 x 13.5 mm,,,81 g,,,"2.4 in, TFT, 240 x 320 pixels, 18 bit",640 x 480 pixels,,"1.1, Micro USB",3.0,"1020 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7247402e
39,50.2 x 118 x 13.5 mm,,,81 g,,,"2.4 in, TFT, 240 x 320 pixels, 18 bit",640 x 480 pixels,,"1.1, Micro USB",3.0,"1020 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7247402e
40,260.11 x 164.71 x 7.95 mm,"2x 2.0 GHz ARM Cortex-A75, 6x 1.8 GHz ARM Cortex-A55,","ARM Mali-G52 MC1, 750 MHz",539 g,"8 GB, 1866 MHz",256 GB,"12 in, IPS, 2000 x 1200 pixels, 24 bit","4130 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"7680 mAh, Li-Ion",https://www.devicespecifications.com/en/model/80385f21
41,260.11 x 164.71 x 7.95 mm,"2x 2.0 GHz ARM Cortex-A75, 6x 1.8 GHz ARM Cortex-A55,","ARM Mali-G52 MC1, 750 MHz",539 g,"8 GB, 1866 MHz",256 GB,"12 in, IPS, 2000 x 1200 pixels, 24 bit","4130 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"7680 mAh, Li-Ion",https://www.devicespecifications.com/en/model/80385f21
42,73.5 x 151 x 7.5 mm,"2x 2.2 GHz Cortex-A75, 6x 1.7 GHz Cortex-A55 (Kryo 360),","Qualcomm Adreno 616, 504 MHz",154 g,"6 GB, 1866 MHz",64 GB,"6 in, Super AMOLED, 1080 x 2160 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3100 mAh, Li-Ion",https://www.devicespecifications.com/en/model/42f14c64
43,74.4 x 152 x 8.3 mm,"2x 2.0 GHz Cortex-A76, 6x 1.7 GHz Cortex-A55 (Kryo 460),","Qualcomm Adreno 612, 845 MHz",165 g,"6 GB, 1866 MHz","64 GB, 128 GB","6.2 in, Super AMOLED, 1080 x 2232 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"4000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/72c050d0
44,78.2 x 160.4 x 7.3 mm,"4x 2.8 GHz Cortex-A75, 4x 1.8 GHz Cortex-A55 (Kryo 385),","Qualcomm Adreno 630, 710 MHz",182 g,"6 GB, 8 GB, 1866 MHz","128 GB, 256 GB","6.5 in, Super AMOLED, 1080 x 2160 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3640 mAh, Li-Ion",https://www.devicespecifications.com/en/model/1d4f4bb9
45,71.6 x 146.1 x 9.9 mm,"ARM Cortex-A53,","Qualcomm Adreno 308, 485 MHz",168 g,2 GB,16 GB,"5.5 in, IPS, 720 x 1440 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/031552eb
46,71.6 x 146.1 x 9.9 mm,"ARM Cortex-A53,","Qualcomm Adreno 308, 485 MHz",168 g,2 GB,16 GB,"5.5 in, IPS, 720 x 1440 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/031552eb
47,78.3 x 152 x 9.9 mm,"4x 1.3 GHz ARM Cortex-A7,","ARM Mali-400 MP1, 500 MHz,",202 g,"1 GB, 533 MHz",8 GB,"5.5 in, IPS, 720 x 1280 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.0,"5000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/00023ead
48,75.5 x 165.2 x 8.9 mm,"4x 2.0 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 660 MHz",190 g,"4 GB, 1600 MHz",32 GB,"6.52 in, IPS, 720 x 1600 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, USB Type-C",4.2,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/346458b6
49,75.5 x 165.2 x 8.9 mm,"4x 2.0 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 660 MHz",190 g,"4 GB, 1600 MHz",32 GB,"6.52 in, IPS, 720 x 1600 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, USB Type-C",4.2,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/346458b6
50,70.56 x 145.96 x 9.3 mm,"4x 2.0 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 660 MHz",153 g,"2 GB, 3 GB, 933 MHz","16 GB, 32 GB","5.71 in, IPS, 720 x 1520 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/c8505107
51,75.41 x 157.69 x 8.68 mm,"4x 2.0 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 660 MHz",183 g,"2 GB, 933 MHz",32 GB,"6.2 in, IPS, 720 x 1520 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",5.0,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/641752a3
52,76.3 x 165.85 x 8.69 mm,"4x 2.0 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 650 MHz",189 g,"2 GB, 3 GB, 1600 MHz","32 GB, 64 GB","6.5 in, IPS, 720 x 1600 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",5.0,"4500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/509d5495
53,74.8 x 161.6 x 7.46 mm,"2x 2.0 GHz ARM Cortex-A75, 6x 1.8 GHz ARM Cortex-A55,","ARM Mali-G52 2EEMC2, 950 MHz,",179 g,"8 GB, 1800 MHz",128 GB,"6.53 in, OLED, 1080 x 2400 pixels, 24 bit","9218 x 6912 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"3800 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/08fe5754
54,50.2 x 118 x 13.5 mm,,,81 g,,,"2.4 in, TFT, 240 x 320 pixels, 18 bit",640 x 480 pixels,,"1.1, Micro USB",3.0,"1020 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7247402e
55,50.2 x 118 x 13.5 mm,,,81 g,,,"2.4 in, TFT, 240 x 320 pixels, 18 bit",640 x 480 pixels,,"1.1, Micro USB",3.0,"1020 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7247402e
56,50.2 x 118 x 13.5 mm,,,81 g,,,"2.4 in, TFT, 240 x 320 pixels, 18 bit",640 x 480 pixels,,"1.1, Micro USB",3.0,"1020 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7247402e
57,68.8 x 146.35 x 8.3 mm,"4x 1.5 GHz ARM Cortex-A53,","IMG PowerVR GE8100, 570 MHz",130 g,"2 GB, 667 MHz",16 GB,"5.5 in, IPS, 720 x 1440 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/8e1e4ecd
58,50.2 x 118 x 13.5 mm,,,81 g,,,"2.4 in, TFT, 240 x 320 pixels, 18 bit",640 x 480 pixels,,"1.1, Micro USB",3.0,"1020 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7247402e
59,50.2 x 118 x 13.5 mm,,,81 g,,,"2.4 in, TFT, 240 x 320 pixels, 18 bit",640 x 480 pixels,,"1.1, Micro USB",3.0,"1020 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7247402e
60,50.2 x 118 x 13.5 mm,,,81 g,,,"2.4 in, TFT, 240 x 320 pixels, 18 bit",640 x 480 pixels,,"1.1, Micro USB",3.0,"1020 mAh, Li-Ion",https://www.devicespecifications.com/en/model/7247402e
61,53.4 x 124.6 x 10.9 mm,,,91 g,15.9744 MB,,"2.8 in, TFT, 240 x 320 pixels, 18 bit","1600 x 1200 pixels, 320 x 240 pixels, 15 fps",,"1.1, Micro USB",3.0,"1200 mAh, Li-Ion",https://www.devicespecifications.com/en/model/88d5384f
62,53.4 x 124.6 x 10.9 mm,,,91 g,15.9744 MB,,"2.8 in, TFT, 240 x 320 pixels, 18 bit","1600 x 1200 pixels, 320 x 240 pixels, 15 fps",,"1.1, Micro USB",3.0,"1200 mAh, Li-Ion",https://www.devicespecifications.com/en/model/88d5384f
63,54.5 x 192.7 x 11.6 mm,"2x 1.1 GHz ARM Cortex-A7,",Qualcomm Adreno 304,118 g,"512 MB, 385 MHz",4 GB,"2.8 in, TFT, 240 x 320 pixels, 18 bit",1920 x 1080 pixels,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.1,"1500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/33c35254
64,54.5 x 192.7 x 11.6 mm,"2x 1.1 GHz ARM Cortex-A7,",Qualcomm Adreno 304,118 g,"512 MB, 385 MHz",4 GB,"2.8 in, TFT, 240 x 320 pixels, 18 bit",1920 x 1080 pixels,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.1,"1500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/33c35254
65,54.5 x 192.7 x 11.6 mm,"2x 1.1 GHz ARM Cortex-A7,",Qualcomm Adreno 304,118 g,"512 MB, 385 MHz",4 GB,"2.8 in, TFT, 240 x 320 pixels, 18 bit",1920 x 1080 pixels,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.1,"1500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/33c35254
66,74.2 x 156.8 x 8.3 mm,"2x 2.2 GHz Cortex-A75, 6x 1.7 GHz Cortex-A55 (Kryo 360),","Qualcomm Adreno 616, 504 MHz",172 g,"4 GB, 6 GB, 1866 MHz","64 GB, 128 GB","6.3 in, IPS, 1080 x 2340 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",5.0,"4045 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/fea9506a
67,74.2 x 156.8 x 8.3 mm,"2x 2.2 GHz Cortex-A75, 6x 1.7 GHz Cortex-A55 (Kryo 360),","Qualcomm Adreno 616, 504 MHz",172 g,"4 GB, 6 GB, 1866 MHz","64 GB, 128 GB","6.3 in, IPS, 1080 x 2340 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",5.0,"4045 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/fea9506a
