,dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery,url
504,76 x 166.9 x 8.8 mm,"2x 2.73 GHz Exynos M5 Lion, 2x 2.5 GHz Cortex-A76, 4x 2.0 GHz Cortex-A55","ARM Mali-G77 MP11, 800 MHz,",222 g,"12 GB, 16 GB, 2750 MHz","128 GB, 256 GB, 512 GB","6.92 in, Dynamic AMOLED 2X, 1440 x 3200 pixels, 24 bit","12000 x 9000 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/c29352e7
505,76 x 166.9 x 8.8 mm,"2x 2.73 GHz Exynos M5 Lion, 2x 2.5 GHz Cortex-A76, 4x 2.0 GHz Cortex-A55","ARM Mali-G77 MP11, 800 MHz,",222 g,"12 GB, 16 GB, 2750 MHz","128 GB, 256 GB, 512 GB","6.92 in, Dynamic AMOLED 2X, 1440 x 3200 pixels, 24 bit","12000 x 9000 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/c29352e7
506,76 x 166.9 x 8.8 mm,"2x 2.73 GHz Exynos M5 Lion, 2x 2.5 GHz Cortex-A76, 4x 2.0 GHz Cortex-A55","ARM Mali-G77 MP11, 800 MHz,",222 g,"12 GB, 16 GB, 2750 MHz","128 GB, 256 GB, 512 GB","6.92 in, Dynamic AMOLED 2X, 1440 x 3200 pixels, 24 bit","12000 x 9000 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/c29352e7
507,73.7 x 161.9 x 7.8 mm,"2x 2.73 GHz Exynos M5 Lion, 2x 2.5 GHz Cortex-A76, 4x 2.0 GHz Cortex-A55","ARM Mali-G77 MP11, 800 MHz,",188 g,"12 GB, 2750 MHz","128 GB, 256 GB, 512 GB","6.7 in, Dynamic AMOLED 2X, 1440 x 3200 pixels, 24 bit","4032 x 3024 pixels, 7680 x 4320 pixels, 24 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.0,"4500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/93ec52f7
508,73.7 x 161.9 x 7.8 mm,"2x 2.73 GHz Exynos M5 Lion, 2x 2.5 GHz Cortex-A76, 4x 2.0 GHz Cortex-A55","ARM Mali-G77 MP11, 800 MHz,",188 g,"12 GB, 2750 MHz","128 GB, 256 GB, 512 GB","6.7 in, Dynamic AMOLED 2X, 1440 x 3200 pixels, 24 bit","4032 x 3024 pixels, 7680 x 4320 pixels, 24 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.0,"4500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/93ec52f7
509,73.7 x 161.9 x 7.8 mm,"2x 2.73 GHz Exynos M5 Lion, 2x 2.5 GHz Cortex-A76, 4x 2.0 GHz Cortex-A55","ARM Mali-G77 MP11, 800 MHz,",188 g,"12 GB, 2750 MHz","128 GB, 256 GB, 512 GB","6.7 in, Dynamic AMOLED 2X, 1440 x 3200 pixels, 24 bit","4032 x 3024 pixels, 7680 x 4320 pixels, 24 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.0,"4500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/93ec52f7
510,73.7 x 161.9 x 7.8 mm,"2x 2.73 GHz Exynos M5 Lion, 2x 2.5 GHz Cortex-A76, 4x 2.0 GHz Cortex-A55","ARM Mali-G77 MP11, 800 MHz,",188 g,"12 GB, 2750 MHz","128 GB, 256 GB, 512 GB","6.7 in, Dynamic AMOLED 2X, 1440 x 3200 pixels, 24 bit","4032 x 3024 pixels, 7680 x 4320 pixels, 24 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.0,"4500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/93ec52f7
511,74.5 x 159.8 x 8.4 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 585)","Qualcomm Adreno 650, 587 MHz",190 g,"6 GB, 8 GB, 2750 MHz","128 GB, 256 GB","6.5 in, Super AMOLED, 1080 x 2400 pixels, 24 bit","4032 x 3024 pixels, 7680 x 4320 pixels, 24 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.0,"4500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d45e5487
512,74.5 x 159.8 x 8.4 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 585)","Qualcomm Adreno 650, 587 MHz",190 g,"6 GB, 8 GB, 2750 MHz","128 GB, 256 GB","6.5 in, Super AMOLED, 1080 x 2400 pixels, 24 bit","4032 x 3024 pixels, 7680 x 4320 pixels, 24 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.0,"4500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/741d564e
513,74.5 x 155.7 x 7.9 mm,"1x 2.84 GHz Cortex-X1, 3x 2.42 GHz Cortex-A78, 4x 1.8GHz Cortex-A55 (Kryo 680)","Qualcomm Adreno 660, 840 MHz",177 g,"6 GB, 8 GB, 3200 MHz","128 GB, 256 GB","6.4 in, Dynamic AMOLED 2X, 1080 x 2400 pixels, 24 bit","4032 x 3024 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.2,"4500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d682583d
514,74.5 x 155.7 x 7.9 mm,"1x 2.84 GHz Cortex-X1, 3x 2.42 GHz Cortex-A78, 4x 1.8GHz Cortex-A55 (Kryo 680)","Qualcomm Adreno 660, 840 MHz",177 g,"6 GB, 8 GB, 3200 MHz","128 GB, 256 GB","6.4 in, Dynamic AMOLED 2X, 1080 x 2400 pixels, 24 bit","4032 x 3024 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.2,"4500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d682583d
515,75.6 x 165.1 x 8.9 mm,"1x 2.84 GHz Cortex-X1, 3x 2.42 GHz Cortex-A78, 4x 1.8GHz Cortex-A55 (Kryo 680)","Qualcomm Adreno 660, 840 MHz",229 g,"12 GB, 16 GB, 3200 MHz","128 GB, 256 GB, 512 GB","6.8 in, Dynamic AMOLED 2X, 1440 x 3200 pixels, 24 bit","12000 x 9000 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6E (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.2,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/964554dd
516,75.6 x 165.1 x 8.9 mm,"1x 2.84 GHz Cortex-X1, 3x 2.42 GHz Cortex-A78, 4x 1.8GHz Cortex-A55 (Kryo 680)","Qualcomm Adreno 660, 840 MHz",229 g,"12 GB, 16 GB, 3200 MHz","128 GB, 256 GB, 512 GB","6.8 in, Dynamic AMOLED 2X, 1440 x 3200 pixels, 24 bit","12000 x 9000 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6E (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.2,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/964554dd
517,75.6 x 165.1 x 8.9 mm,"1x 2.84 GHz Cortex-X1, 3x 2.42 GHz Cortex-A78, 4x 1.8GHz Cortex-A55 (Kryo 680)","Qualcomm Adreno 660, 840 MHz",229 g,"12 GB, 16 GB, 3200 MHz","128 GB, 256 GB, 512 GB","6.8 in, Dynamic AMOLED 2X, 1440 x 3200 pixels, 24 bit","12000 x 9000 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6E (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.2, USB Type-C",5.2,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/964554dd
518,74.5 x 155.7 x 7.9 mm,"1x 2.84 GHz Cortex-X1, 3x 2.42 GHz Cortex-A78, 4x 1.8GHz Cortex-A55 (Kryo 680)","Qualcomm Adreno 660, 840 MHz",177 g,"6 GB, 8 GB, 3200 MHz","128 GB, 256 GB","6.4 in, Dynamic AMOLED 2X, 1080 x 2400 pixels, 24 bit","4032 x 3024 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.2,"4500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d682583d
519,74.5 x 155.7 x 7.9 mm,"1x 2.84 GHz Cortex-X1, 3x 2.42 GHz Cortex-A78, 4x 1.8GHz Cortex-A55 (Kryo 680)","Qualcomm Adreno 660, 840 MHz",177 g,"6 GB, 8 GB, 3200 MHz","128 GB, 256 GB","6.4 in, Dynamic AMOLED 2X, 1080 x 2400 pixels, 24 bit","4032 x 3024 pixels, 7680 x 4320 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.2,"4500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d682583d
