dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery,url
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
76.8 x 165.38 x 9 mm,"2x 2.4 GHz Cortex-A77, 6x 1.8 GHz Cortex-A55 (Kryo 570),","Qualcomm Adreno 619, 800 MHz",214 g,"6 GB, 2133 MHz","64 GB, 128 GB","6.67 in, IPS, 1080 x 2400 pixels, 24 bit","64 MP, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"4820 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/28d4549c
76.8 x 165.38 x 9 mm,"2x 2.4 GHz Cortex-A77, 6x 1.8 GHz Cortex-A55 (Kryo 570),","Qualcomm Adreno 619, 800 MHz",214 g,"6 GB, 2133 MHz","64 GB, 128 GB","6.67 in, IPS, 1080 x 2400 pixels, 24 bit","64 MP, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"4820 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/28d4549c
76.8 x 165.38 x 9 mm,"2x 2.4 GHz Cortex-A77, 6x 1.8 GHz Cortex-A55 (Kryo 570),","Qualcomm Adreno 619, 800 MHz",214 g,"6 GB, 2133 MHz","64 GB, 128 GB","6.67 in, IPS, 1080 x 2400 pixels, 24 bit","64 MP, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"4820 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/28d4549c
76.4 x 165.1 x 9.33 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 585)","Qualcomm Adreno 650, 587 MHz",218 g,"6 GB, 8 GB, 2750 MHz",128 GB,"6.67 in, IPS, 1080 x 2400 pixels, 24 bit","108 MP, 7680 x 4320 pixels, 24 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/61d2546f
76.4 x 165.1 x 9.33 mm,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 585)","Qualcomm Adreno 650, 587 MHz",218 g,"6 GB, 8 GB, 2750 MHz",128 GB,"6.67 in, IPS, 1080 x 2400 pixels, 24 bit","108 MP, 7680 x 4320 pixels, 24 fps","a, b, g, n, n 5GHz, ac, Wi-Fi 6 (ax), Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/61d2546f
88.7 x 174.1 x 7.6 mm,"8x 2.0 GHz ARM Cortex-A53,","Qualcomm Adreno 506, 650 MHz",211 g,"4 GB, 933 MHz","32 GB, 64 GB, 128 GB","6.44 in, IPS, 1080 x 1920 pixels, 24 bit","4000 x 3000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.2,"5300 mAh, Li-Ion",https://www.devicespecifications.com/en/model/d3ad4218
74.2 x 157.8 x 9.67 mm,"2x 2.2 GHz Cortex-A76, 6x 1.8 GHz Cortex-A55 (Kryo 470),","Qualcomm Adreno 618, 700 MHz",208 g,"6 GB, 8 GB, 1866 MHz","64 GB, 128 GB","6.47 in, AMOLED, 1080 x 2340 pixels, 24 bit","9280 x 6944 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"5260 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/6e595386
69.2 x 144.55 x 7.25 mm,"2x 2.15 GHz Kryo, 2x 1.6 GHz Kryo,","Qualcomm Adreno 530, 624 MHz",139 g,"4 GB, 1866 MHz",128 GB,"5.15 in, IPS, 1080 x 1920 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.2,"3000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/78b43a6e
76.2 x 157.8 x 8.2 mm,"4x 2.5 GHz ARM Cortex-A53, 4x 1.6 GHz ARM Cortex-A53,","ARM Mali-T880 MP2, 1000 MHz,",195 g,"4 GB, 6 GB, 1600 MHz",64 GB,"6 in, IPS, 1080 x 2160 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/206545eb
76.2 x 157.8 x 8.2 mm,"4x 2.5 GHz ARM Cortex-A53, 4x 1.6 GHz ARM Cortex-A53,","ARM Mali-T880 MP2, 1000 MHz,",195 g,"4 GB, 6 GB, 1600 MHz",64 GB,"6 in, IPS, 1080 x 2160 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/206545eb
