dimensions,cpu,gpu,weight,ram,storage,display,camera,wifi,usb,blue,battery,url
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
,,,,,,,,,,,,nan
76.5 x 156.5 x 6.7 mm,"4x 1.8 GHz Cortex-A73, 4x 1.6 GHz Cortex-A53 (Kryo 260),","Qualcomm Adreno 509, 430 MHz",155 g,"4 GB, 1333 MHz","32 GB, 64 GB","6 in, Super AMOLED, 1080 x 2160 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/166c4a4a
,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 485)","Qualcomm Adreno 640, 585 MHz",,"8 GB, 2133 MHz",128 GB,"6.4 in, Super AMOLED, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3230 mAh, Li-Ion",https://www.devicespecifications.com/en/model/653150a7
,"1x 2.84 GHz Cortex-A77, 3x 2.42 GHz Cortex-A77, 4x 1.8 GHz Cortex-A55 (Kryo 485)","Qualcomm Adreno 640, 585 MHz",,"8 GB, 2133 MHz",128 GB,"6.4 in, Super AMOLED, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3230 mAh, Li-Ion",https://www.devicespecifications.com/en/model/653150a7
70 x 146 x 9.5 mm,"4x 1.3 GHz ARM cortex-A7,","ARM Mali-400 MP1, 500 MHz,",212 g,"2 GB, 533 MHz",16 GB,"5.5 in, IPS, 640 x 1280 pixels, 24 bit","4160 x 3120 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"4500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/47f24e10
70 x 146 x 9.5 mm,"4x 1.3 GHz ARM cortex-A7,","ARM Mali-400 MP1, 500 MHz,",212 g,"2 GB, 533 MHz",16 GB,"5.5 in, IPS, 640 x 1280 pixels, 24 bit","4160 x 3120 pixels, 1280 x 720 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"4500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/47f24e10
73.8 x 151.4 x 8.9 mm,"4x 1.6 GHz ARM Cortex-A55, 4x 1.2 GHz ARM Cortex-A55,","PowerVR GE8322 / IMG8322, 550 MHz,",180 g,"3 GB, 1600 MHz",32 GB,"5.84 in, IPS, 1080 x 2280 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"3360 mAh, Li-Ion",https://www.devicespecifications.com/en/model/97a45016
77.1 x 159 x 8.8 mm,"4x 2.0 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 800 MHz,",175 g,"6 GB, 1800 MHz",128 GB,"6.3 in, IPS, 1080 x 2280 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot","2.0, Micro USB",5.0,"4400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/c76653fc
77.1 x 159 x 8.8 mm,"4x 2.0 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 800 MHz,",175 g,"6 GB, 1800 MHz",128 GB,"6.3 in, IPS, 1080 x 2280 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot","2.0, Micro USB",5.0,"4400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/c76653fc
77.4 x 167 x 8.9 mm,"4x 1.8 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 600 MHz",190 g,"4 GB, 1600 MHz",128 GB,"6.55 in, IPS, 720 x 1600 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"4180 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d13654ad
77.4 x 167 x 8.9 mm,"4x 1.8 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53,","IMG PowerVR GE8320, 600 MHz",190 g,"4 GB, 1600 MHz",128 GB,"6.55 in, IPS, 720 x 1600 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"4180 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d13654ad
76.1 x 153.2 x 7.6 mm,"4x 2.1 GHz ARM Cortex-A57, 4x 1.5 GHz ARM Cortex-A53,","ARM Mali-T760 MP8, 772 MHz,",171 g,"4 GB, 1552 MHz",32 GB,"5.7 in, Super AMOLED, 1440 x 2560 pixels, 24 bit","5312 x 2988 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/c0143988
75.5 x 165.6 x 10.4 mm,"4x 1.6 GHz ARM Cortex-A55, 4x 1.2 GHz ARM Cortex-A55,","PowerVR GE8322 / IMG8322, 550 MHz,",,"4 GB, 1600 MHz",128 GB,"6.56 in, IPS, 720 x 1612 pixels, 24 bit","4130 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.2,"5100 mAh, Li-Ion",https://www.devicespecifications.com/en/model/e40b5eb2
75.5 x 165.6 x 10.4 mm,"4x 1.6 GHz ARM Cortex-A55, 4x 1.2 GHz ARM Cortex-A55,","PowerVR GE8322 / IMG8322, 550 MHz,",,"4 GB, 1600 MHz",128 GB,"6.56 in, IPS, 720 x 1612 pixels, 24 bit","4130 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.2,"5100 mAh, Li-Ion",https://www.devicespecifications.com/en/model/e40b5eb2
82.98 x 159.26 x 10.06 mm,"4x 2.7 GHz Krait 450,","Qualcomm Adreno 420, 600 MHz,",184 g,"3 GB, 800 MHz","32 GB, 64 GB","5.96 in, AMOLED, 1440 x 2560 pixels, 24 bit","4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.1,"3220 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/617b3011
76 x 165.6 x 7.99 mm,"2x 2.2 GHz ARM Cortex-A76, 6x 2.0 GHz ARM Cortex-A55,","ARM Mali-G57 MC2, 950 MHz,",193 g,"4 GB, 2133 MHz",128 GB,"6.72 in, IPS, 1080 x 2400 pixels, 24 bit","8120 x 6180 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.3,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/6e715f1d
76 x 165.6 x 7.99 mm,"2x 2.2 GHz ARM Cortex-A76, 6x 2.0 GHz ARM Cortex-A55,","ARM Mali-G57 MC2, 950 MHz,",193 g,"4 GB, 2133 MHz",128 GB,"6.72 in, IPS, 1080 x 2400 pixels, 24 bit","8120 x 6180 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.3,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/6e715f1d
74.7 x 163 x 9 mm,"8x 2.0 GHz ARM Cortex-A53,","Qualcomm Adreno 619L, 565 MHz",190 g,"6 GB, 1866 MHz",128 GB,"6.49 in, IPS, 1080 x 2400 pixels, 24 bit","9280 x 6920 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"4300 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/1dbd54da
75.1 x 164.9 x 8.5 mm,"4x 1.8 GHz Cortex-A73, 4x 1.6 GHz Cortex-A53 (Kryo 240),","Qualcomm Adreno 610, 600 MHz",188 g,"6 GB, 1866 MHz",128 GB,"6.52 in, IPS, 720 x 1600 pixels, 24 bit","4608 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/d03f54db
77 x 155.8 x 9.1 mm,"4x 2.0 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 800 MHz,",200 g,"8 GB, 1800 MHz",128 GB,"6.5 in, IPS, 720 x 1600 pixels, 24 bit","4096 x 3024 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"4200 mAh, Li-Ion",https://www.devicespecifications.com/en/model/728e5580
77 x 155.8 x 9.1 mm,"4x 2.0 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 800 MHz,",200 g,"8 GB, 1800 MHz",128 GB,"6.5 in, IPS, 720 x 1600 pixels, 24 bit","4096 x 3024 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",4.2,"4200 mAh, Li-Ion",https://www.devicespecifications.com/en/model/728e5580
73.7 x 156.1 x 9.7 mm,"4x 2.0 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 660 MHz",178 g,"3 GB, 933 MHz",32 GB,"6.1 in, IPS, 600 x 1280 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 16 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/f1b05143
73.7 x 156.1 x 9.7 mm,"4x 2.0 GHz ARM Cortex-A53,","IMG PowerVR GE8300, 660 MHz",178 g,"3 GB, 933 MHz",32 GB,"6.1 in, IPS, 600 x 1280 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 16 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/f1b05143
66.5 x 141.7 x 12 mm,"4x 1.3 GHz ARM Cortex-A53,","ARM Mali-T720 MP2, 550 MHz,",,"2 GB, 640 MHz",16 GB,"5.5 in, IPS, 442 x 960 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 16 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"2700 mAh, Li-Ion",https://www.devicespecifications.com/en/model/fe8d53ac
66.5 x 141.7 x 12 mm,"4x 1.3 GHz ARM Cortex-A53,","ARM Mali-T720 MP2, 550 MHz,",,"2 GB, 640 MHz",16 GB,"5.5 in, IPS, 442 x 960 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 16 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"2700 mAh, Li-Ion",https://www.devicespecifications.com/en/model/fe8d53ac
66.5 x 141.7 x 12 mm,"4x 1.3 GHz ARM Cortex-A53,","ARM Mali-T720 MP2, 550 MHz,",,"2 GB, 640 MHz",16 GB,"5.5 in, IPS, 442 x 960 pixels, 24 bit","3264 x 2448 pixels, 1920 x 1080 pixels, 16 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"2700 mAh, Li-Ion",https://www.devicespecifications.com/en/model/fe8d53ac
74.4 x 153.1 x 8.65 mm,"2x 2.0 GHz Cortex-A76, 6x 1.7 GHz Cortex-A55 (Kryo 460),","Qualcomm Adreno 612, 845 MHz",169 g,"4 GB, 6 GB, 1866 MHz","64 GB, 128 GB","6.2 in, IPS, 1080 x 2244 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"4000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/5fd74ee8
75.1 x 157 x 7.77 mm,"4x 2.36 GHz ARM Cortex-A73, 4x 1.84 GHz ARM Cortex-A53,","ARM Mali-G72 MP12, 767 MHz,",172 g,"8 GB, 1833 MHz",128 GB,"6.4 in, AMOLED, 1080 x 2310 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"3750 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/09b34e65
71.2 x 147.5 x 7.6 mm,"4x 1.95 GHz ARM Cortex-A72, 4x 1.4 GHz ARM Cortex-A53,","Qualcomm Adreno 510, 621 MHz",155 g,"6 GB, 933 MHz",64 GB,"5.2 in, JDI IPS, 1080 x 1920 pixels, 24 bit","4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"3200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/f6124653
71.2 x 147.5 x 7.6 mm,"4x 1.95 GHz ARM Cortex-A72, 4x 1.4 GHz ARM Cortex-A53,","Qualcomm Adreno 510, 621 MHz",155 g,"6 GB, 933 MHz",64 GB,"5.2 in, JDI IPS, 1080 x 1920 pixels, 24 bit","4160 x 3120 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.1,"3200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/f6124653
71.2 x 160.1 x 9.2 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.6 GHz ARM Cortex-A53,","ARM Mali-G72 MP3,",181 g,4 GB,128 GB,"6.3 in, IPS, 1080 x 2520 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 48 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/c2315118
71.2 x 160.1 x 9.2 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.6 GHz ARM Cortex-A53,","ARM Mali-G72 MP3,",181 g,4 GB,128 GB,"6.3 in, IPS, 1080 x 2520 pixels, 24 bit","4032 x 3024 pixels, 3840 x 2160 pixels, 48 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3500 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/c2315118
75.85 x 164.96 x 9.4 mm,"2x 2.2 GHz Cortex-A75, 6x 1.7 GHz Cortex-A55 (Kryo 360),","Qualcomm Adreno 616, 504 MHz",202 g,"4 GB, 1866 MHz","64 GB, 128 GB","6.5 in, IPS, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/9d4d53f1
75.85 x 164.96 x 9.4 mm,"2x 2.2 GHz Cortex-A75, 6x 1.7 GHz Cortex-A55 (Kryo 360),","Qualcomm Adreno 616, 504 MHz",202 g,"4 GB, 1866 MHz","64 GB, 128 GB","6.5 in, IPS, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/9d4d53f1
76.6 x 161.8 x 8.9 mm,"2x 2.0 GHz Cortex-A76, 6x 1.7 GHz Cortex-A55 (Kryo 460),","Qualcomm Adreno 612, 845 MHz",200 g,"4 GB, 1866 MHz",128 GB,"6.5 in, IPS, 1080 x 2340 pixels, 24 bit","3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/7c60529f
75.41 x 157.6 x 8.99 mm,"4x 2.1 GHz ARM Cortex-A73, 4x 2.0 GHz ARM Cortex-A53,","ARM Mali-G72 MP3, 900 MHz,",186 g,"4 GB, 1800 MHz",64 GB,"6.2 in, IPS, 720 x 1520 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/5f3d5255
75.9 x 155.8 x 9.98 mm,"4x 1.8 GHz Cortex-A73, 4x 1.6 GHz Cortex-A53 (Kryo 260),","Qualcomm Adreno 509, 430 MHz",170 g,"4 GB, 1333 MHz",64 GB,"6.18 in, IPS, 1080 x 2246 pixels, 24 bit","4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.0,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/076d4bcb
71.2 x 160.1 x 8.7 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.6 GHz ARM Cortex-A53,","ARM Mali-G72 MP3,",181 g,4 GB,128 GB,"6.3 in, IPS, 1080 x 2520 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/c8d9502e
71.2 x 160.1 x 8.7 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.6 GHz ARM Cortex-A53,","ARM Mali-G72 MP3,",181 g,4 GB,128 GB,"6.3 in, IPS, 1080 x 2520 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"3500 mAh, Li-Ion",https://www.devicespecifications.com/en/model/c8d9502e
76.1 x 166.1 x 9.9 mm,"2x 2.4 GHz Cortex-A77, 6x 1.8 GHz Cortex-A55 (Kryo 570),","Qualcomm Adreno 619, 800 MHz",212 g,"4 GB, 6 GB, 2133 MHz","64 GB, 128 GB","6.7 in, IPS, 1080 x 2400 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",5.1,"5000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/9731556e
75 x 158 x 8.8 mm,"2x 2.0 GHz Cortex-A76, 6x 1.7 GHz Cortex-A55 (Kryo 460),","Qualcomm Adreno 612, 845 MHz",190 g,"4 GB, 1866 MHz",128 GB,"6.4 in, OLED, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.0,"4000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/48975126
75 x 158 x 8.8 mm,"2x 2.0 GHz Cortex-A76, 6x 1.7 GHz Cortex-A55 (Kryo 460),","Qualcomm Adreno 612, 845 MHz",190 g,"4 GB, 1866 MHz",128 GB,"6.4 in, OLED, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","3.1, USB Type-C",5.0,"4000 mAh, Li-Ion",https://www.devicespecifications.com/en/model/48975126
73.55 x 155.36 x 8.2 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4,",163 g,4 GB,128 GB,"6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, Micro USB",5.0,"3400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/5793525e
77.2 x 163.1 x 8.8 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4,",206 g,6 GB,128 GB,"6.59 in, IPS, 1080 x 2340 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/39075290
73.2 x 157.4 x 7.75 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4,",163 g,"4 GB, 1833 MHz",128 GB,"6.3 in, OLED, 1080 x 2400 pixels, 24 bit","8000 x 6000 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.0,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/cf7a53b8
73.4 x 155.2 x 7.95 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",160 g,"3 GB, 4 GB","32 GB, 64 GB","6.21 in, IPS, 1080 x 2340 pixels, 24 bit","4160 x 3120 pixels, 1920 x 1080 pixels, 60 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, Micro USB",4.2,"3400 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/b48f4dfc
76.88 x 165.65 x 9.26 mm,"4x 2.0 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4,",206 g,"4 GB, 1866 MHz",128 GB,"6.67 in, IPS, 1080 x 2400 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.1,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/7eb45496
77.3 x 163.5 x 8.8 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4,",196 g,4 GB,64 GB,"6.59 in, IPS, 1080 x 2340 pixels, 24 bit","4608 x 3456 pixels, 1920 x 1080 pixels, 60 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/62845092
76.88 x 165.65 x 9.26 mm,"4x 2.0 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4,",206 g,"4 GB, 1866 MHz",128 GB,"6.67 in, IPS, 1080 x 2400 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 30 fps","b, g, n, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",5.1,"5000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/7eb45496
74.3 x 156.6 x 8.1 mm,"4x 2.0 GHz ARM Cortex-A53, 4x 1.65 GHz ARM Cortex-A53,","ARM Mali-G71 MP2, 700 MHz,",185 g,"4 GB, 1500 MHz",64 GB,"6.3 in, IPS, 1080 x 2340 pixels, 24 bit","4032 x 3024 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display","2.0, USB Type-C",4.2,"4000 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/81a05247
73.4 x 158 x 8.41 mm,"2x 2.6 GHz Cortex-A76, 2x 1.92 GHz Cortex-A76, 4x 1.8 GHz Cortex-A55","ARM Mali-G76 MP10, 720 MHz,",192 g,"8 GB, 2133 MHz",256 GB,"6.47 in, OLED, 1080 x 2340 pixels, 24 bit","7296 x 5472 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/3064539c
73.4 x 158 x 8.41 mm,"2x 2.6 GHz Cortex-A76, 2x 1.92 GHz Cortex-A76, 4x 1.8 GHz Cortex-A55","ARM Mali-G76 MP10, 720 MHz,",192 g,"8 GB, 2133 MHz",256 GB,"6.47 in, OLED, 1080 x 2340 pixels, 24 bit","7296 x 5472 pixels, 3840 x 2160 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","3.1, USB Type-C",5.0,"4200 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/3064539c
72.7 x 152.9 x 7.4 mm,"4x 2.2 GHz ARM Cortex-A73, 4x 1.7 GHz ARM Cortex-A53,","ARM Mali-G51 MP4, 1000 MHz,",159 g,6 GB,256 GB,"6.15 in, IPS, 1080 x 2312 pixels, 24 bit","8000 x 6000 pixels, 1920 x 1080 pixels, 30 fps","a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct","2.0, USB Type-C",4.2,"3340 mAh, Li-Polymer",https://www.devicespecifications.com/en/model/aff652b4
