,volume,cpu,gpu,weigth,storage,popularity,sellers_amount,screen_size,memory_size,battery_size,blue,price,model_name
821,107878.0,64.0,800.0,175.0,128.0,347,4,5.9,32.0,4000.0,5.0,3595.0,Redmi Note 5 3/32GB Rose Gold
822,119551.0,5.0,550.0,195.0,32.0,1120,5,5.99,64.0,4000.0,4.0,3451.0,Redmi Note 5 4/64GB Gold
823,95020.0,6.0,600.0,165.0,16.0,514,1,6.26,32.0,4000.0,4.1,3599.0,Redmi Note 6 Pro 3/32GB Blue
824,95020.0,6.0,600.0,165.0,16.0,420,2,6.26,64.0,4000.0,4.1,5010.0,Redmi Note 6 Pro 4/64GB Blue
825,95020.0,6.0,600.0,165.0,16.0,392,2,6.26,64.0,4000.0,4.1,5010.0,Redmi Note 6 Pro 4/64GB Rose Gold
826,95020.0,6.0,600.0,165.0,16.0,1068,3,6.3,64.0,4000.0,4.1,4323.0,Redmi Note 7 4/64GB Black
827,181324.0,6.0,570.0,252.0,16.0,971,2,6.3,32.0,4000.0,4.0,4304.0,Redmi Note 8 3/32GB Blue
828,181324.0,6.0,570.0,254.0,32.0,912,8,6.3,128.0,4000.0,4.2,5261.0,Redmi Note 8 4/128GB Black
829,111513.0,43.0,1000.0,199.0,128.0,1171,11,6.3,64.0,4000.0,5.0,4888.0,Redmi Note 8 4/64GB Blue
830,111513.0,43.0,1000.0,199.0,128.0,967,7,6.3,128.0,4000.0,5.0,5514.0,Redmi Note 8 6/128GB Blue
845,115039.0,43.0,600.0,190.0,128.0,1137,16,6.67,128.0,5020.0,5.0,6576.0,Redmi Note 9S 6/128GB Grey
846,115039.0,43.0,600.0,190.0,128.0,763,6,6.53,128.0,5000.0,5.0,8442.0,Redmi Note 9T 4/128GB Nightfall Black
847,169593.0,5.0,500.0,235.0,32.0,958,10,6.53,64.0,5000.0,4.0,7682.0,Redmi Note 9T 4/64GB Daybreak Purple
848,169593.0,43.0,600.0,235.0,64.0,991,57,6.43,128.0,4025.0,5.0,10221.0,Reno 4 Lite 8/128GB Magic Blue
849,169593.0,43.0,600.0,235.0,64.0,1020,54,6.5,256.0,4000.0,5.0,15361.0,Reno 4 Pro 8/256GB Starry Night
853,169679.0,43.0,600.0,275.0,128.0,349,9,6.57,128.0,4000.0,5.0,10974.0,Reno4 Z 5G 8/128GB Black
855,114830.0,66.0,680.0,203.0,128.0,34,3,5.5,8.0,3000.0,5.0,1697.0,S1 1/8GB Black
856,114830.0,66.0,680.0,203.0,128.0,84,3,5.5,8.0,3000.0,5.0,1697.0,S1 1/8GB Black
857,177592.0,5.0,450.0,275.0,16.0,58,2,5.5,64.0,3500.0,4.0,3032.0,S1 Black
863,112647.0,5.0,550.0,150.0,16.0,643,1,5.45,8.0,2000.0,4.2,1499.0,S260 Black
864,112647.0,5.0,550.0,150.0,16.0,591,12,4.7,16.0,4000.0,4.2,6718.0,S31 Black
866,131379.0,148.0,587.0,240.0,256.0,288,17,5.5,16.0,4650.0,5.1,2707.0,S40 Lite 2/16GB Black
867,131379.0,161.0,670.0,240.0,512.0,300,17,5.5,16.0,4650.0,5.1,2707.0,S40 Lite 2/16GB Black
868,131379.0,161.0,670.0,240.0,512.0,324,17,5.5,16.0,4650.0,5.1,2707.0,S40 Lite 2/16GB Black
869,131379.0,161.0,670.0,240.0,512.0,552,10,5.45,64.0,4650.0,5.1,3590.0,S40 Pro 4/64GB Black
870,168520.0,43.0,600.0,261.0,64.0,557,10,5.45,64.0,4650.0,5.0,3590.0,S40 Pro 4/64GB Black
871,168520.0,43.0,600.0,261.0,64.0,631,12,5.5,32.0,4200.0,5.0,9148.0,S42 Dual Black
872,94791.0,13.0,624.0,173.0,64.0,498,2,5.7,64.0,3000.0,4.2,3245.0,S5 4/64GB Pink
873,94791.0,13.0,624.0,173.0,64.0,727,2,6.2,64.0,3500.0,4.2,4183.0,S5 Pro 6/64GB Black
874,128638.0,47.0,700.0,223.0,128.0,432,1,6.2,64.0,3500.0,5.0,3849.0,S5 Pro 6/64Gb Blue
875,125684.0,57.0,625.0,215.0,256.0,586,5,6.2,64.0,3500.0,5.0,3957.0,S5 Pro 6/64Gb Gold
876,103204.0,28.0,550.0,150.0,16.0,784,39,5.65,64.0,3100.0,4.1,13259.0,S52
877,159753.0,43.0,600.0,230.0,32.0,647,8,5.5,64.0,5500.0,5.0,3527.0,S55 4/64GB Black
878,159753.0,67.0,900.0,230.0,128.0,862,17,5.45,32.0,4000.0,4.2,2872.0,S561 3/32GB Black
887,117825.0,5.0,500.0,202.0,8.0,476,6,6.18,128.0,5050.0,4.0,5612.0,S90C 4/128GB Black
888,174006.0,52.0,900.0,264.0,128.0,89,1,6.18,64.0,5050.0,5.0,5299.0,S90C 4/64GB Black
889,174006.0,52.0,900.0,264.0,128.0,39,1,6.18,64.0,5050.0,5.0,5299.0,S90C 4/64GB Black
890,174006.0,52.0,900.0,264.0,128.0,98,1,6.18,64.0,5050.0,5.0,5299.0,S90C 4/64GB Black
904,190908.0,6.0,570.0,253.0,16.0,292,1,1.77,0.032,600.0,4.1,249.0,Simple F200n Black
906,170424.0,8.0,660.0,227.0,32.0,593,2,5.5,16.0,2960.0,5.0,2142.0,Smart Ultra Dark Gray
907,172791.0,7.0,550.0,234.0,32.0,57,3,6.52,32.0,4000.0,5.0,2999.0,Spark 4 KC2 3/32GB Royal Purple
908,172791.0,7.0,550.0,234.0,32.0,656,6,6.52,32.0,4000.0,5.0,2321.0,Spark 4 Lite 2/32GB Midnight Black (4895180754593)
909,150593.0,5.0,598.0,213.0,16.0,1058,49,6.6,128.0,5000.0,4.1,3762.0,Spark 5 Pro KD7 4/128GB DS Spark Orange
910,150593.0,36.0,450.0,213.0,32.0,1074,51,6.6,64.0,5000.0,4.1,3583.0,Spark 5 Pro KD7 4/64GB DS Spark Orange
911,174759.0,43.0,600.0,256.0,64.0,837,38,6.52,32.0,5000.0,5.0,2769.0,Spark 6 Go KE5 2/32GB Aqua Blue (4895180762383)
912,130326.0,43.0,600.0,225.0,64.0,799,34,6.52,64.0,5000.0,5.0,3193.0,Spark 6 Go KE5j 3/64GB Aqua Blue (4895180762918)
913,163297.0,70.0,1000.0,243.0,64.0,1005,45,6.8,128.0,5000.0,4.1,4129.0,Spark 6 KE7 4/128GB Comet Black (4895180762079)
914,163297.0,70.0,1000.0,243.0,64.0,983,44,6.8,64.0,5000.0,4.1,3750.0,Spark 6 KE7 4/64GB Ocean Blue (4895180762024)
915,183849.0,52.0,900.0,285.0,128.0,501,5,8.1,256.0,3577.0,5.0,44232.0,Surface Duo 6GB/256GB (TGM-00001)
916,183849.0,52.0,900.0,285.0,128.0,86,2,2.4,0.032,2100.0,5.0,1048.0,T1 Yellow
917,177111.0,5.0,500.0,238.0,16.0,36,2,2.4,0.032,2100.0,4.0,1048.0,T1 Yellow
918,177111.0,5.0,500.0,238.0,16.0,649,1,5.5,16.0,4080.0,4.0,1949.0,T3 Pro 3/16GB Black
919,177111.0,5.0,500.0,238.0,16.0,648,1,5.5,16.0,4080.0,4.0,1949.0,T3 Pro 3/16GB Black
926,182218.0,5.0,500.0,236.0,16.0,20,1,5.5,64.0,3000.0,4.0,5899.0,U11 4/64GB White
927,182218.0,5.0,500.0,236.0,16.0,579,10,6.8,256.0,5000.0,4.0,19649.0,U20 5G 8/256GB White
928,182218.0,5.0,500.0,236.0,16.0,372,3,6.53,256.0,3500.0,4.0,6615.0,U3H 8/256GB Black
929,267177.0,66.0,680.0,408.0,64.0,354,3,6.53,256.0,3500.0,5.0,6615.0,U3H 8/256GB Black
930,194445.0,24.0,650.0,275.0,64.0,231,1,5.9,128.0,3750.0,4.1,6980.0,V10 6/128GB Dual Beach Gold
931,209670.0,48.0,650.0,284.0,64.0,19,2,1.8,0.032,600.0,5.0,249.0,V182 Black
932,205902.0,24.0,650.0,287.0,32.0,894,26,6.44,128.0,4000.0,4.0,11632.0,V20 8/128GB Midnight Jazz
933,205902.0,24.0,650.0,287.0,32.0,935,9,6.44,128.0,4000.0,4.0,11360.0,V20 8/128GB Sunset Melody
934,182028.0,52.0,900.0,290.0,128.0,684,9,6.44,128.0,4100.0,5.0,8762.0,V20 SE 8/128GB Gravity Black
935,182028.0,52.0,900.0,290.0,128.0,5,14,2.4,0.032,1000.0,5.0,326.0,V241 (Black)
936,201997.0,67.0,900.0,322.0,128.0,264,20,2.8,0.032,1450.0,4.1,400.0,V281 Black
937,201997.0,67.0,900.0,322.0,128.0,276,20,2.8,0.032,1450.0,4.1,400.0,V281 Black
938,201997.0,67.0,900.0,322.0,128.0,919,2,6.4,128.0,3300.0,4.1,6874.0,V40 ThinQ 4/64GB Aurora Black
942,222546.0,67.0,900.0,283.0,128.0,363,2,5.7,64.0,4000.0,4.1,6186.0,V9 6/64GB Red
943,222546.0,67.0,900.0,283.0,128.0,779,7,6.8,128.0,4300.0,4.1,15525.0,Velvet 5G LM-G900EM 6/128GB Aurora Gray
944,170391.0,67.0,900.0,268.0,128.0,9,2,5.5,64.0,5000.0,4.2,3404.0,WP1 4/64GB Black
945,170391.0,67.0,900.0,268.0,128.0,681,7,6.0,64.0,10000.0,4.2,4449.0,WP2 4/64GB Black
946,170391.0,67.0,900.0,268.0,128.0,33,3,6.0,64.0,10000.0,4.2,4433.0,WP2 4/64GB Gold
947,170391.0,67.0,900.0,268.0,128.0,728,3,5.5,32.0,8000.0,4.2,3149.0,WP5 3/32GB Black
948,170391.0,67.0,900.0,268.0,128.0,969,14,5.5,64.0,8000.0,4.2,3813.0,WP5 Pro 4/64GB Black
949,200793.0,70.0,1000.0,284.0,64.0,1085,13,6.3,128.0,10000.0,4.2,5231.0,WP6 4/128GB Black
950,210703.0,49.0,700.0,310.0,128.0,939,16,6.3,128.0,10000.0,5.0,6628.0,WP6 6/128GB Black
951,210703.0,49.0,700.0,310.0,128.0,932,21,6.53,128.0,8000.0,5.0,9981.0,WP7 8/128GB Black
952,210703.0,49.0,700.0,310.0,128.0,820,11,6.49,64.0,5000.0,5.0,4897.0,WP8 Pro 4/64GB Black
958,252393.0,67.0,900.0,365.0,64.0,459,6,2.4,0.032,2500.0,4.2,950.0,X-TREME IO93
959,252393.0,67.0,900.0,365.0,64.0,723,37,5.5,128.0,9000.0,4.2,9323.0,X-TREME PQ39 ULTRA Black
960,252393.0,60.0,770.0,365.0,128.0,485,23,5.5,128.0,9000.0,4.1,9348.0,X-TREME PQ39 ULTRA Black-Green
961,203682.0,64.0,800.0,282.0,128.0,903,27,5.7,64.0,6500.0,4.2,6883.0,X-TREME PQ54 MAX
977,274362.0,67.0,900.0,372.0,128.0,832,42,2.4,4.0,2000.0,4.2,1036.0,X-style S3500 sKai Black
980,231090.0,66.0,680.0,330.0,128.0,136,3,2.4,0.0032,4500.0,4.0,2066.0,X-treme DZ68 Black
985,186710.0,8.0,660.0,315.0,16.0,360,39,5.0,8.0,5000.0,5.0,2546.0,X-treme PQ20 Black Orange
986,110592.0,9.0,450.0,205.0,32.0,368,39,5.0,8.0,5000.0,4.0,2546.0,X-treme PQ20 Black Orange
