,volume,cpu,gpu,weigth,storage,popularity,sellers_amount,screen_size,memory_size,battery_size,blue,price,model_name
456,104280.0,40.0,845.0,190.0,128.0,233,3,6.8,512.0,4300.0,5.0,27973.0,Galaxy Note 10+ SM-N975F 12/512GB Aura Black
457,104280.0,40.0,845.0,190.0,128.0,744,3,6.3,64.0,3300.0,5.0,9923.0,Galaxy Note 8 64GB Gold
458,109350.0,43.0,600.0,192.0,64.0,184,6,6.3,128.0,3300.0,4.2,18114.0,Galaxy Note 8 N950F Single sim 128GB Black
472,91613.0,69.0,767.0,172.0,128.0,1146,33,6.9,256.0,4500.0,4.2,30008.0,Galaxy Note20 Ultra 5G SM-N9860 12/256GB Mystic Black
475,111190.0,62.0,850.0,191.0,128.0,1147,38,6.9,256.0,4500.0,5.0,32669.0,Galaxy Note20 Ultra SM-N985F 8/256GB Mystic Bronze (SM-N985FZNG)
483,105263.0,46.0,600.0,188.0,128.0,795,22,6.4,1000.0,4000.0,5.0,23137.0,Galaxy S10+ SM-G975 DS 1TB Ceramic White (SM-G975FCWH)
484,96841.0,43.0,621.0,175.0,64.0,910,26,6.4,512.0,4000.0,4.1,21304.0,Galaxy S10+ SM-G975 DS 512GB Black (SM-G975FCKG)
485,96841.0,43.0,621.0,175.0,64.0,828,28,6.4,512.0,4000.0,4.1,19878.0,Galaxy S10+ SM-G975 DS 512GB White (SM-G975FCWG)
487,103530.0,30.0,550.0,175.0,128.0,403,1,6.4,512.0,4000.0,4.2,18739.0,Galaxy S10+ SM-G975 SS 512GB White
490,100864.0,161.0,670.0,192.0,256.0,66,3,6.4,1000.0,4000.0,5.0,21454.0,Galaxy S10+ SM-G9750 DS 1TB Black
492,121618.0,60.0,770.0,208.0,128.0,499,1,5.8,128.0,3100.0,4.1,12499.0,Galaxy S10e SM-G9700 DS 128GB Black
517,178754.0,66.0,680.0,286.0,64.0,1136,26,6.8,512.0,5000.0,4.2,42649.0,Galaxy S21 Ultra 16/512GB Phantom Black (SM-G998BZKHSEK)
518,178754.0,66.0,680.0,286.0,64.0,979,32,6.7,128.0,4800.0,4.2,31574.0,Galaxy S21+ 8/128GB Phantom Black (SM-G996BZKDSEK)
519,110921.0,45.0,650.0,188.0,32.0,1006,27,6.7,256.0,4800.0,4.2,33443.0,Galaxy S21+ 8/256GB Phantom Black (SM-G996BZKGSEK)
520,110921.0,45.0,650.0,188.0,32.0,824,1,5.1,32.0,3000.0,4.2,5400.0,Galaxy S7 G930F 32GB (Black)
521,106842.0,67.0,900.0,186.0,64.0,685,3,5.1,32.0,3000.0,4.2,7782.0,Galaxy S7 G930F 32GB (Gold)
522,103217.0,8.0,660.0,183.0,32.0,908,2,5.8,64.0,3000.0,5.0,7864.0,Galaxy S8 64GB Blue
523,89759.0,64.0,647.0,170.0,64.0,886,1,5.8,64.0,3000.0,5.0,7640.0,Galaxy S8 G950F Single Sim 64GB Black
524,89759.0,64.0,647.0,170.0,64.0,871,7,6.2,64.0,3500.0,5.0,10787.0,Galaxy S8+ 64GB Black (SM-G955FZKD)
525,89759.0,64.0,647.0,170.0,64.0,664,1,6.2,64.0,3500.0,5.0,8709.0,Galaxy S8+ SM-G955U 64GB Black
526,89759.0,64.0,647.0,170.0,64.0,167,1,5.8,128.0,3000.0,5.0,14990.0,Galaxy S9 SM-G960 DS 128GB Black (SM-G960FZKG)
529,160875.0,6.0,570.0,225.0,16.0,92,8,5.8,128.0,3000.0,4.0,16798.0,Galaxy S9 SM-G960 DS 128GB Blue
530,160875.0,6.0,570.0,225.0,16.0,101,8,5.8,128.0,3000.0,4.0,16798.0,Galaxy S9 SM-G960 DS 128GB Blue
531,160875.0,6.0,570.0,225.0,32.0,17,1,5.8,128.0,3000.0,4.0,13720.0,Galaxy S9 SM-G960 DS 128GB Grey (SM-G960FZAG)
532,160875.0,6.0,570.0,225.0,32.0,249,9,5.8,128.0,3000.0,4.0,13537.0,Galaxy S9 SM-G960 DS 128GB Purple (SM-G960FZPG)
537,96640.0,63.0,700.0,167.0,64.0,285,6,6.2,128.0,3500.0,5.0,13525.0,Galaxy S9+ SM-G965 DS 128GB Grey
539,99376.0,57.0,625.0,185.0,128.0,517,15,6.2,256.0,3500.0,5.0,14532.0,Galaxy S9+ SM-G965 DS 256GB Black (SM-G965FZKH)
540,100171.0,64.0,750.0,184.0,128.0,1135,16,6.2,64.0,3500.0,5.0,13837.0,Galaxy S9+ SM-G965 DS 64GB Black (SM-G965FZKD)
541,100171.0,57.0,950.0,184.0,128.0,696,13,6.7,256.0,3300.0,5.0,22434.0,Galaxy Z Flip 5G SM-F707 8/256GB Mystic Bronze
542,102707.0,66.0,680.0,180.0,128.0,1029,16,6.7,256.0,3300.0,5.0,35015.0,Galaxy Z Flip SM-F700 8/256GB Mirror Purple (SM-F700FZPD)
543,113983.0,52.0,955.0,182.0,128.0,1099,33,7.6,256.0,4500.0,5.1,51460.0,Galaxy Z Fold2 12/256GB Mystic Black (SM-F916BZKQ)
544,113983.0,52.0,955.0,182.0,128.0,207,6,2.8,0.032,950.0,5.1,460.0,Grace A1 1281 Dual Sim Red (PFP1281DUORED)
545,111006.0,8.0,660.0,190.0,32.0,191,1,5.2,32.0,2700.0,4.2,4189.0,H791 Nexus 5X 32GB (Mint)
546,111006.0,8.0,660.0,190.0,32.0,225,1,5.2,32.0,2700.0,4.2,4189.0,H791 Nexus 5X 32GB (Mint)
572,112550.0,57.0,950.0,195.0,128.0,890,33,6.5,32.0,4000.0,5.0,3325.0,M10 3/32GB Black
573,112550.0,57.0,950.0,195.0,128.0,119,13,6.5,32.0,4000.0,5.0,3608.0,M10 3/32GB Blue
577,95719.0,64.0,647.0,186.0,64.0,651,2,5.5,16.0,4000.0,5.0,3281.0,M6 Note 3/16GB Black
582,115051.0,46.0,600.0,200.0,64.0,482,9,5.7,64.0,3100.0,5.0,3726.0,M8 4/64GB Blue
583,114854.0,57.0,950.0,200.0,64.0,169,3,6.0,64.0,4060.0,5.0,3682.0,MIX 2 6/64GB Black
584,114961.0,66.0,680.0,200.0,64.0,453,11,1.4,0.032,460.0,4.2,563.0,MM111
585,114961.0,66.0,680.0,200.0,64.0,458,11,1.4,0.032,460.0,4.2,563.0,MM111
